"","pokedex_number","name","generation","category","egg_group_1","egg_group_2","has_egg_group_2","color","body_style","height_m","weight_kg","abilities","ability_1","ability_2","ability_3","ability_4","ability_5","ability_6","no_of_abilities","has_mega_evolution","catch_rate","base_egg_steps","base_friendship","experience_growth","has_gender","prob_male","type_1","type_2","has_type_2","is_legendary","hp","attack","defense","sp_attack","sp_defense","speed","total"
"1",1,"Bulbasaur",1,"Seed","Monster","Grass","TRUE","Green","quadruped",0.71,6.9,"['Overgrow', 'Chlorophyll']","Overgrow","Chlorophyll","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"grass","poison","TRUE","FALSE",45,49,49,65,65,45,318
"2",2,"Ivysaur",1,"Seed","Monster","Grass","TRUE","Green","quadruped",0.99,13,"['Overgrow', 'Chlorophyll']","Overgrow","Chlorophyll","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"grass","poison","TRUE","FALSE",60,62,63,80,80,60,405
"3",3,"Venusaur",1,"Seed","Monster","Grass","TRUE","Green","quadruped",2.01,100,"['Overgrow', 'Chlorophyll']","Overgrow","Chlorophyll","none","none","none","none",2,"True",45,5120,70,1059860,"True",0.875,"grass","poison","TRUE","FALSE",80,100,123,122,120,80,625
"4",4,"Charmander",1,"Lizard","Monster","Dragon","TRUE","Red","bipedal_tailed",0.61,8.5,"['Blaze', 'Solar Power']","Blaze","Solar Power","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"fire","none","FALSE","FALSE",39,52,43,60,50,65,309
"5",5,"Charmeleon",1,"Flame","Monster","Dragon","TRUE","Red","bipedal_tailed",1.09,19,"['Blaze', 'Solar Power']","Blaze","Solar Power","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"fire","none","FALSE","FALSE",58,64,58,80,65,80,405
"6",6,"Charizard",1,"Flame","Monster","Dragon","TRUE","Red","bipedal_tailed",1.7,90.5,"['Blaze', 'Solar Power']","Blaze","Solar Power","none","none","none","none",2,"True",45,5120,70,1059860,"True",0.875,"fire","flying","TRUE","FALSE",78,104,78,159,115,100,634
"7",7,"Squirtle",1,"Tiny Turtle","Monster","Water_1","TRUE","Blue","bipedal_tailed",0.51,9,"['Torrent', 'Rain Dish']","Torrent","Rain Dish","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"water","none","FALSE","FALSE",44,48,65,50,64,43,314
"8",8,"Wartortle",1,"Turtle","Monster","Water_1","TRUE","Blue","bipedal_tailed",0.99,22.5,"['Torrent', 'Rain Dish']","Torrent","Rain Dish","none","none","none","none",2,"False",45,5120,70,1059860,"True",0.875,"water","none","FALSE","FALSE",59,63,80,65,80,58,405
"9",9,"Blastoise",1,"Shellfish","Monster","Water_1","TRUE","Blue","bipedal_tailed",1.6,85.5,"['Torrent', 'Rain Dish']","Torrent","Rain Dish","none","none","none","none",2,"True",45,5120,70,1059860,"True",0.875,"water","none","FALSE","FALSE",79,103,120,135,115,78,630
"10",10,"Caterpie",1,"Worm","Bug","none","FALSE","Green","insectoid",0.3,2.9,"['Shield Dust', 'Run Away']","Shield Dust","Run Away","none","none","none","none",2,"False",255,3840,70,1000000,"True",0.5,"bug","none","FALSE","FALSE",45,30,35,20,20,45,195
"11",11,"Metapod",1,"Cocoon","Bug","none","FALSE","Green","serpentine_body",0.71,9.9,"['Shed Skin']","Shed Skin","none","none","none","none","none",1,"False",120,3840,70,1000000,"True",0.5,"bug","none","FALSE","FALSE",50,20,55,25,25,30,205
"12",12,"Butterfree",1,"Butterfly","Bug","none","FALSE","White","four_wings",1.09,32,"['Compoundeyes', 'Tinted Lens']","Compoundeyes","Tinted Lens","none","none","none","none",2,"False",45,3840,70,1000000,"True",0.5,"bug","flying","TRUE","FALSE",60,45,50,90,80,70,395
"13",13,"Weedle",1,"Hairy","Bug","none","FALSE","Brown","serpentine_body",0.3,3.2,"['Shield Dust', 'Run Away']","Shield Dust","Run Away","none","none","none","none",2,"False",255,3840,70,1000000,"True",0.5,"bug","poison","TRUE","FALSE",40,35,30,20,20,50,195
"14",14,"Kakuna",1,"Cocoon","Bug","none","FALSE","Yellow","serpentine_body",0.61,10,"['Shed Skin']","Shed Skin","none","none","none","none","none",1,"False",120,3840,70,1000000,"True",0.5,"bug","poison","TRUE","FALSE",45,25,50,25,25,35,205
"15",15,"Beedrill",1,"Poison Bee","Bug","none","FALSE","Yellow","four_wings",0.99,29.5,"['Swarm', 'Sniper']","Swarm","Sniper","none","none","none","none",2,"True",45,3840,70,1000000,"True",0.5,"bug","poison","TRUE","FALSE",65,150,40,15,80,145,495
"16",16,"Pidgey",1,"Tiny Bird","Flying","none","FALSE","Brown","two_wings",0.3,1.8,"['Keen Eye', 'Tangled Feet', 'Big Pecks']","Keen Eye","Tangled Feet","Big Pecks","none","none","none",3,"False",255,3840,70,1059860,"True",0.5,"normal","flying","TRUE","FALSE",40,45,40,35,35,56,251
"17",17,"Pidgeotto",1,"Bird","Flying","none","FALSE","Brown","two_wings",1.09,30,"['Keen Eye', 'Tangled Feet', 'Big Pecks']","Keen Eye","Tangled Feet","Big Pecks","none","none","none",3,"False",120,3840,70,1059860,"True",0.5,"normal","flying","TRUE","FALSE",63,60,55,50,50,71,349
"18",18,"Pidgeot",1,"Bird","Flying","none","FALSE","Brown","two_wings",1.5,39.5,"['Keen Eye', 'Tangled Feet', 'Big Pecks']","Keen Eye","Tangled Feet","Big Pecks","none","none","none",3,"True",45,3840,70,1059860,"True",0.5,"normal","flying","TRUE","FALSE",83,80,80,135,80,121,579
