"","pokedex_number","name","generation","category","egg_group_1","egg_group_2","has_egg_group_2","color","body_style","height_m","weight_kg","has_mega_evolution","catch_rate","base_egg_steps","base_friendship","experience_growth","type_1","type_2","has_type_2","is_legendary","hp","attack","defense","sp_attack","sp_defense","speed","total","gender","individual_ability"
"1",1,"Bulbasaur",1,"Seed Pokémon","Monster","Grass","TRUE","Green","quadruped",0.71,6.9,"False",45,5120,70,1059860,"grass","poison","TRUE","FALSE",45,49,49,58,71,45,317,"male","Chlorophyll"
"2",2,"Ivysaur",1,"Seed Pokémon","Monster","Grass","TRUE","Green","quadruped",0.99,13,"False",45,5120,70,1059860,"grass","poison","TRUE","FALSE",54,62,69,80,80,60,405,"male","Chlorophyll"
"3",3,"Venusaur",1,"Seed Pokémon","Monster","Grass","TRUE","Green","quadruped",2.01,100,"True",45,5120,70,1059860,"grass","poison","TRUE","FALSE",80,100,110,122,132,80,624,"male","Chlorophyll"
"4",4,"Charmander",1,"Lizard Pokémon","Monster","Dragon","TRUE","Red","bipedal_tailed",0.61,8.5,"False",45,5120,70,1059860,"fire","none","FALSE","FALSE",39,52,43,60,50,65,309,"male","Blaze"
"5",5,"Charmeleon",1,"Flame Pokémon","Monster","Dragon","TRUE","Red","bipedal_tailed",1.09,19,"False",45,5120,70,1059860,"fire","none","FALSE","FALSE",58,64,58,80,65,80,405,"male","Blaze"
"6",6,"Charizard",1,"Flame Pokémon","Monster","Dragon","TRUE","Red","bipedal_tailed",1.7,90.5,"True",45,5120,70,1059860,"fire","flying","TRUE","FALSE",78,104,78,159,126,90,635,"male","Blaze"
"7",7,"Squirtle",1,"Tiny Turtle Pokémon","Monster","Water_1","TRUE","Blue","bipedal_tailed",0.51,9,"False",45,5120,70,1059860,"water","none","FALSE","FALSE",44,48,65,55,57,43,312,"male","Torrent"
"8",8,"Wartortle",1,"Turtle Pokémon","Monster","Water_1","TRUE","Blue","bipedal_tailed",0.99,22.5,"False",45,5120,70,1059860,"water","none","FALSE","FALSE",53,63,80,65,80,63,404,"male","Torrent"
"9",9,"Blastoise",1,"Shellfish Pokémon","Monster","Water_1","TRUE","Blue","bipedal_tailed",1.6,85.5,"True",45,5120,70,1059860,"water","none","FALSE","FALSE",79,103,120,135,115,78,630,"male","Rain Dish"
"10",10,"Caterpie",1,"Worm Pokémon","Bug","none","FALSE","Green","insectoid",0.3,2.9,"False",255,3840,70,1000000,"bug","none","FALSE","FALSE",49,30,35,20,20,40,194,"female","Shield Dust"
"11",11,"Metapod",1,"Cocoon Pokémon","Bug","none","FALSE","Green","serpentine_body",0.71,9.9,"False",120,3840,70,1000000,"bug","none","FALSE","FALSE",50,22,55,22,25,30,204,"male","Shed Skin"
"12",12,"Butterfree",1,"Butterfly Pokémon","Bug","none","FALSE","White","four_wings",1.09,32,"False",45,3840,70,1000000,"bug","flying","TRUE","FALSE",60,49,45,90,80,70,394,"female","Compoundeyes"
"13",13,"Weedle",1,"Hairy Pokémon","Bug","none","FALSE","Brown","serpentine_body",0.3,3.2,"False",255,3840,70,1000000,"bug","poison","TRUE","FALSE",40,38,30,18,20,50,196,"male","Run Away"
"14",14,"Kakuna",1,"Cocoon Pokémon","Bug","none","FALSE","Yellow","serpentine_body",0.61,10,"False",120,3840,70,1000000,"bug","poison","TRUE","FALSE",45,25,55,25,22,35,207,"male","Shed Skin"
"15",15,"Beedrill",1,"Poison Bee Pokémon","Bug","none","FALSE","Yellow","four_wings",0.99,29.5,"True",45,3840,70,1000000,"bug","poison","TRUE","FALSE",65,150,40,15,72,159,501,"male","Swarm"
"16",16,"Pidgey",1,"Tiny Bird Pokémon","Flying","none","FALSE","Brown","two_wings",0.3,1.8,"False",255,3840,70,1059860,"normal","flying","TRUE","FALSE",36,45,44,35,35,56,251,"male","Big Pecks"
"17",17,"Pidgeotto",1,"Bird Pokémon","Flying","none","FALSE","Brown","two_wings",1.09,30,"False",120,3840,70,1059860,"normal","flying","TRUE","FALSE",63,60,55,50,45,78,351,"male","Big Pecks"
"18",18,"Pidgeot",1,"Bird Pokémon","Flying","none","FALSE","Brown","two_wings",1.5,39.5,"True",45,3840,70,1059860,"normal","flying","TRUE","FALSE",83,88,72,135,80,121,579,"male","Big Pecks"
